ts,current,voltage,shunt_voltage
1716842214.411985,38.0,5.088,3.8000000000000003
1716842214.413242,38.0,5.084,3.8000000000000003
1716842214.414498,38.0,5.084,3.8000000000000003
1716842214.415751,38.0,5.088,3.81
1716842214.417007,38.09756097560975,5.088,3.85
1716842214.418265,38.5,5.084,3.81
1716842214.419521,38.09756097560975,5.084,3.81
1716842214.420777,38.0,5.084,3.8000000000000003
1716842214.422046,38.09756097560975,5.084,3.81
1716842214.423307,38.09756097560975,5.084,3.81
1716842214.424569,38.09756097560975,5.08,3.81
1716842214.426611,38.0,5.084,3.83
1716842214.427899,38.292682926829265,5.084,3.8000000000000003
1716842214.429166,38.0,5.084,3.8000000000000003
1716842214.430422,38.0,5.084,3.8000000000000003
1716842214.431727,38.0,5.084,3.8000000000000003
1716842214.432981,38.40243902439024,5.084,3.8000000000000003
1716842214.434242,38.0,5.08,3.81
1716842214.435499,38.09756097560975,5.08,3.8000000000000003
1716842214.436757,38.0,5.084,3.8000000000000003
1716842214.438012,38.09756097560975,5.084,3.81
1716842214.439272,38.0,5.08,3.8000000000000003
1716842214.440528,38.0,5.08,3.8000000000000003
1716842214.441795,38.0,5.08,3.85
1716842214.443061,38.5,5.084,3.81
1716842214.444322,38.09756097560975,5.08,3.81
1716842214.445588,38.0,5.08,3.8000000000000003
1716842214.446846,38.0,5.08,3.8000000000000003
1716842214.448101,38.0,5.084,3.8000000000000003
1716842214.449355,38.0,5.08,3.8000000000000003
1716842214.450609,38.0,5.084,3.8000000000000003
1716842214.45191,38.0,5.084,3.8000000000000003
1716842214.453169,38.0,5.08,3.8000000000000003
1716842214.454425,38.0,5.08,3.8000000000000003
1716842214.455682,38.0,5.084,3.81
1716842214.45694,38.09756097560975,5.08,3.84
1716842214.458201,38.40243902439024,5.08,3.81
1716842214.459464,38.09756097560975,5.08,3.8000000000000003
1716842214.460727,38.0,5.08,3.8000000000000003
1716842214.461996,38.09756097560975,5.08,3.81
1716842214.463261,38.09756097560975,5.076,3.8000000000000003
1716842214.464522,38.0,5.08,3.8000000000000003
1716842214.46578,38.0,5.08,3.8000000000000003
1716842214.467035,38.0,5.08,3.83
1716842214.468293,38.292682926829265,5.08,3.8000000000000003
1716842214.46955,38.0,5.076,3.8000000000000003
1716842214.470803,38.0,5.08,3.8000000000000003
1716842214.472077,38.09756097560975,5.084,3.84
1716842214.473349,38.40243902439024,5.08,3.8000000000000003
1716842214.474612,38.0,5.08,3.8000000000000003
1716842214.475868,38.0,5.084,3.8000000000000003
1716842214.477126,38.09756097560975,5.084,3.81
1716842214.47839,38.0,5.084,3.8000000000000003
1716842214.479644,38.0,5.08,3.81
1716842214.480901,38.09756097560975,5.08,3.81
1716842214.482207,38.09756097560975,5.08,3.84
1716842214.487137,38.292682926829265,5.08,3.8000000000000003
1716842214.488486,38.0,5.08,3.8000000000000003
1716842214.489751,38.0,5.08,3.8000000000000003
1716842214.491932,38.0,5.08,3.8000000000000003
1716842214.493548,38.0,5.084,3.81
1716842214.494843,38.09756097560975,5.084,3.8000000000000003
1716842214.496107,38.0,5.084,3.81
1716842214.497366,38.09756097560975,5.08,3.84
1716842214.498628,38.09756097560975,5.08,3.81
1716842214.499887,38.0,5.08,3.8000000000000003
1716842214.501141,38.09756097560975,5.084,3.81
1716842214.50245,38.09756097560975,5.084,3.81
1716842214.50372,38.09756097560975,5.084,3.81
1716842214.504978,38.09756097560975,5.084,3.8000000000000003
1716842214.506244,38.0,5.084,3.8000000000000003
1716842214.507504,38.292682926829265,5.084,3.83
1716842214.508765,38.0,5.08,3.8000000000000003
1716842214.510021,38.0,5.08,3.8000000000000003
1716842214.511273,38.0,5.08,3.8000000000000003
1716842214.512543,38.0,5.08,3.81
1716842214.513802,38.0,5.08,3.8000000000000003
1716842214.515058,38.0,5.084,3.8000000000000003
1716842214.516316,38.09756097560975,5.084,3.81
1716842214.517577,38.09756097560975,5.084,3.81
1716842214.518841,38.09756097560975,5.08,3.8000000000000003
1716842214.5201,38.0,5.084,3.81
1716842214.521354,38.09756097560975,5.08,3.81
1716842214.522705,38.40243902439024,5.08,3.84
1716842214.523977,38.0,5.084,3.81
1716842214.525238,38.09756097560975,5.084,3.8000000000000003
1716842214.526504,38.0,5.084,3.79
1716842214.527763,37.90243902439024,5.088,3.8000000000000003
1716842214.529026,38.0,5.084,3.8000000000000003
1716842214.530287,38.09756097560975,5.088,3.81
1716842214.531556,38.09756097560975,5.08,3.85
1716842214.532827,38.5,5.084,3.8000000000000003
1716842214.534089,38.0,5.084,3.8000000000000003
1716842214.535351,38.0,5.084,3.81
1716842214.536612,38.09756097560975,5.084,3.81
1716842214.537878,38.40243902439024,5.084,3.84
1716842214.539141,38.0,5.084,3.8200000000000003
1716842214.540399,38.19512195121951,5.084,3.8000000000000003
1716842214.541693,38.0,5.084,3.81
1716842214.542961,38.09756097560975,5.084,3.81
1716842214.544225,38.0,5.084,3.8000000000000003
1716842214.545483,38.0,5.088,3.8000000000000003
1716842214.546739,38.0,5.084,3.84
1716842214.547991,38.40243902439024,5.088,3.8000000000000003
1716842214.549253,38.0,5.088,3.81
1716842214.550512,38.09756097560975,5.088,3.8000000000000003
1716842214.551779,38.0,5.088,3.81
1716842214.553791,38.09756097560975,5.088,3.81
1716842214.555187,38.09756097560975,5.088,3.81
1716842214.556531,38.0,5.088,3.81
1716842214.557806,38.09756097560975,5.088,3.81
1716842214.559072,38.09756097560975,5.088,3.81
1716842214.560334,38.09756097560975,5.088,3.81
1716842214.561604,38.09756097560975,5.088,3.81
1716842214.562878,38.5,5.088,3.81
1716842214.564143,38.09756097560975,5.088,3.81
1716842214.565406,38.09756097560975,5.088,3.8000000000000003
1716842214.56667,38.0,5.088,3.8200000000000003
1716842214.567924,38.0,5.088,3.8000000000000003
1716842214.569181,38.0,5.088,3.8000000000000003
1716842214.570442,38.09756097560975,5.088,3.8000000000000003
1716842214.57175,38.0,5.088,3.84
1716842214.573017,38.40243902439024,5.088,3.8000000000000003
1716842214.574281,38.0,5.088,3.81
1716842214.57554,38.09756097560975,5.088,3.81
1716842214.576803,38.0,5.088,3.8000000000000003
1716842214.578062,38.40243902439024,5.088,3.81
1716842214.579326,38.09756097560975,5.092,3.81
1716842214.580586,38.09756097560975,5.088,3.81
1716842214.581863,38.09756097560975,5.088,3.81
1716842214.58313,38.09756097560975,5.092,3.81
1716842214.584389,38.0,5.088,3.8000000000000003
1716842214.585649,38.09756097560975,5.092,3.8000000000000003
1716842214.586913,38.0,5.088,3.83
1716842214.588177,38.292682926829265,5.092,3.8000000000000003
1716842214.589444,38.0,5.092,3.8000000000000003
1716842214.590703,38.09756097560975,5.092,3.81
1716842214.591987,38.0,5.092,3.8000000000000003
1716842214.593249,38.0,5.092,3.8000000000000003
1716842214.594509,38.0,5.092,3.81
1716842214.59577,38.09756097560975,5.092,3.81
1716842214.597037,38.09756097560975,5.092,3.81
1716842214.598302,38.09756097560975,5.092,3.81
1716842214.599569,38.09756097560975,5.092,3.81
1716842214.600833,38.09756097560975,5.096,3.81
1716842214.602134,38.09756097560975,5.092,3.84
1716842214.603401,38.40243902439024,5.092,3.81
1716842214.604662,38.09756097560975,5.096,3.81
1716842214.605925,38.0,5.092,3.8000000000000003
1716842214.60718,38.09756097560975,5.092,3.81
1716842214.608439,38.0,5.092,3.8000000000000003
1716842214.609696,38.0,5.096,3.8000000000000003
1716842214.610951,38.0,5.096,3.8000000000000003
1716842214.61222,38.0,5.092,3.85
1716842214.613477,38.0,5.092,3.8000000000000003
1716842214.614734,38.09756097560975,5.096,3.81
1716842214.616763,38.0,5.1,3.8000000000000003
1716842214.618041,38.09756097560975,5.096,3.81
1716842214.619305,38.09756097560975,5.096,3.81
1716842214.620565,38.09756097560975,5.096,3.81
1716842214.621838,38.09756097560975,5.096,3.81
1716842214.6231,38.09756097560975,5.092,3.81
1716842214.62436,38.09756097560975,5.096,3.81
1716842214.625621,38.09756097560975,5.096,3.8000000000000003
1716842214.626885,38.0,5.092,3.85
1716842214.628146,38.5,5.1,3.8000000000000003
1716842214.629407,38.0,5.096,3.8000000000000003
1716842214.630671,38.0,5.096,3.8000000000000003
1716842214.63197,38.09756097560975,5.096,3.81
1716842214.633234,38.09756097560975,5.096,3.81
1716842214.634494,38.09756097560975,5.096,3.81
1716842214.635756,38.09756097560975,5.096,3.81
1716842214.637026,38.09756097560975,5.096,3.84
1716842214.638292,38.09756097560975,5.096,3.81
1716842214.639556,38.09756097560975,5.096,3.81
1716842214.640817,38.09756097560975,5.096,3.8000000000000003
1716842214.642096,38.0,5.1,3.85
1716842214.643356,38.5,5.096,3.81
1716842214.644614,38.09756097560975,5.096,3.81
1716842214.645881,38.09756097560975,5.096,3.81
1716842214.647147,38.0,5.096,3.8000000000000003
1716842214.648408,38.0,5.096,3.8000000000000003
1716842214.649669,38.0,5.096,3.81
1716842214.650935,38.09756097560975,5.1,3.81
1716842214.652215,38.09756097560975,5.1,3.85
1716842214.653488,38.09756097560975,5.096,3.81
1716842214.654754,38.0,5.1,3.8000000000000003
1716842214.656015,38.09756097560975,5.096,3.8200000000000003
1716842214.657281,38.19512195121951,5.096,3.81
1716842214.658544,38.09756097560975,5.096,3.81
1716842214.659813,38.09756097560975,5.096,3.81
1716842214.661082,38.09756097560975,5.096,3.81
1716842214.662383,38.19512195121951,5.1,3.8200000000000003
1716842214.663645,38.09756097560975,5.096,3.8000000000000003
1716842214.664905,38.0,5.1,3.81
1716842214.666173,38.09756097560975,5.1,3.81
1716842214.667437,38.09756097560975,5.1,3.84
1716842214.668701,38.0,5.096,3.8000000000000003
1716842214.669958,38.09756097560975,5.1,3.81
1716842214.67122,38.0,5.096,3.8000000000000003
1716842214.67249,38.0,5.096,3.8000000000000003
1716842214.673746,38.0,5.096,3.8000000000000003
1716842214.674998,38.0,5.096,3.8000000000000003
1716842214.676257,38.09756097560975,5.1,3.84
1716842214.678296,38.0,5.1,3.8000000000000003
1716842214.679577,38.0,5.1,3.8000000000000003
1716842214.680834,38.09756097560975,5.1,3.8000000000000003
1716842214.682144,38.0,5.096,3.85
1716842214.683404,38.5,5.096,3.81
1716842214.684663,38.09756097560975,5.1,3.81
1716842214.685923,38.09756097560975,5.096,3.81
1716842214.687184,38.0,5.1,3.8000000000000003
1716842214.68844,38.0,5.1,3.8000000000000003
1716842214.689699,38.0,5.096,3.8000000000000003
1716842214.690953,38.0,5.096,3.81
1716842214.692223,38.09756097560975,5.1,3.84
1716842214.693486,38.0,5.1,3.8000000000000003
1716842214.694748,38.0,5.1,3.8000000000000003
1716842214.696004,38.09756097560975,5.1,3.81
1716842214.697272,38.09756097560975,5.096,3.81
1716842214.698578,38.09756097560975,5.1,3.81
1716842214.699853,38.09756097560975,5.096,3.81
1716842214.701113,38.09756097560975,5.096,3.81
1716842214.702423,38.09756097560975,5.092,3.81
1716842214.703692,38.09756097560975,5.092,3.81
1716842214.704956,38.09756097560975,5.096,3.8000000000000003
1716842214.706219,38.0,5.1,3.81
1716842214.707477,38.09756097560975,5.096,3.84
1716842214.708741,38.0,5.096,3.8000000000000003
1716842214.709996,38.09756097560975,5.096,3.81
1716842214.711258,38.0,5.096,3.8000000000000003
1716842214.712533,38.0,5.096,3.8000000000000003
1716842214.713797,38.0,5.096,3.8000000000000003
1716842214.715055,38.0,5.096,3.8000000000000003
1716842214.716311,38.09756097560975,5.092,3.81
1716842214.717579,38.40243902439024,5.092,3.84
1716842214.718846,38.09756097560975,5.092,3.8000000000000003
1716842214.720106,38.0,5.092,3.8000000000000003
1716842214.721361,38.0,5.092,3.81
1716842214.722651,38.09756097560975,5.092,3.8200000000000003
1716842214.723917,38.0,5.096,3.8000000000000003
1716842214.725175,38.09756097560975,5.092,3.81
1716842214.726437,38.0,5.092,3.8000000000000003
1716842214.727703,38.0,5.092,3.81
1716842214.728959,38.09756097560975,5.092,3.81
1716842214.730222,38.09756097560975,5.092,3.8000000000000003
1716842214.731508,38.0,5.092,3.8000000000000003
1716842214.732772,38.40243902439024,5.096,3.81
1716842214.734043,38.09756097560975,5.092,3.81
1716842214.73531,38.09756097560975,5.092,3.81
1716842214.736571,38.09756097560975,5.092,3.81
